########################################
# Annotation Metadata
########################################

Campaign Name: Aramco switches
Video Name: 24-DEC-25-10:42:11:AM_4.avi

URL (Original): http://192.168.18.33:3000/originals/24-DEC-25-10:42:11:AM_4-694b85a2c03ba603fd316ff6.avi
URL (Web): http://192.168.18.33:3000/videos/24-DEC-25-10:42:11:AM_4-694b85a2c03ba603fd316ff6.mp4

FPS: 20
Total Frames: 3414

Start Frames: 1

End Frames: 3414

Total Frames Trimmed Version: 3414

Export Date: 2026-02-09T13:00:48.048Z

########################################
# Annotations (Format: FrameNo:{verb},{noun},{state},{visibility})
########################################

1:bg,bg,in_process,visible
2:bg,bg,in_process,visible
3:bg,bg,in_process,visible
4:bg,bg,in_process,visible
5:bg,bg,in_process,visible
6:bg,bg,in_process,visible
7:bg,bg,in_process,visible
8:bg,bg,in_process,visible
9:bg,bg,in_process,visible
10:bg,bg,in_process,visible
11:bg,bg,in_process,visible
12:bg,bg,in_process,visible
13:bg,bg,in_process,visible
14:bg,bg,in_process,visible
15:bg,bg,in_process,visible
16:bg,bg,in_process,visible
17:bg,bg,in_process,visible
18:bg,bg,in_process,visible
19:bg,bg,in_process,visible
20:bg,bg,in_process,visible
21:bg,bg,in_process,visible
22:bg,bg,in_process,visible
23:bg,bg,in_process,visible
24:bg,bg,in_process,visible
25:bg,bg,in_process,visible
26:bg,bg,in_process,visible
27:bg,bg,in_process,visible
28:bg,bg,in_process,visible
29:bg,bg,in_process,visible
30:bg,bg,in_process,visible
31:bg,bg,in_process,visible
32:bg,bg,in_process,visible
33:bg,bg,in_process,visible
34:bg,bg,in_process,visible
35:bg,bg,in_process,visible
36:bg,bg,in_process,visible
37:bg,bg,in_process,visible
38:bg,bg,in_process,visible
39:bg,bg,in_process,visible
40:bg,bg,in_process,visible
41:bg,bg,in_process,visible
42:bg,bg,in_process,visible
43:bg,bg,in_process,visible
44:bg,bg,in_process,visible
45:bg,bg,in_process,visible
46:bg,bg,in_process,visible
47:bg,bg,in_process,visible
48:bg,bg,in_process,visible
49:bg,bg,in_process,visible
50:bg,bg,in_process,visible
51:bg,bg,in_process,visible
52:bg,bg,in_process,visible
53:bg,bg,in_process,visible
54:bg,bg,in_process,visible
55:bg,bg,in_process,visible
56:bg,bg,in_process,visible
57:bg,bg,in_process,visible
58:bg,bg,in_process,visible
59:bg,bg,in_process,visible
60:bg,bg,in_process,visible
61:bg,bg,in_process,visible
62:bg,bg,in_process,visible
63:bg,bg,in_process,visible
64:bg,bg,in_process,visible
65:bg,bg,in_process,visible
66:bg,bg,in_process,visible
67:bg,bg,in_process,visible
68:bg,bg,in_process,visible
69:bg,bg,in_process,visible
70:bg,bg,in_process,visible
71:bg,bg,in_process,visible
72:bg,bg,in_process,visible
73:bg,bg,in_process,visible
74:bg,bg,in_process,visible
75:bg,bg,in_process,visible
76:bg,bg,in_process,visible
77:bg,bg,in_process,visible
78:bg,bg,in_process,visible
79:bg,bg,in_process,visible
80:bg,bg,in_process,visible
81:bg,bg,in_process,visible
82:bg,bg,in_process,visible
83:bg,bg,in_process,visible
84:bg,bg,in_process,visible
85:bg,bg,in_process,visible
86:bg,bg,in_process,visible
87:bg,bg,in_process,visible
88:bg,bg,in_process,visible
89:bg,bg,in_process,visible
90:bg,bg,in_process,visible
91:bg,bg,in_process,visible
92:bg,bg,in_process,visible
93:bg,bg,in_process,visible
94:bg,bg,in_process,visible
95:bg,bg,in_process,visible
96:bg,bg,in_process,visible
97:bg,bg,in_process,visible
98:bg,bg,in_process,visible
99:bg,bg,in_process,visible
100:bg,bg,in_process,visible
101:bg,bg,in_process,visible
102:bg,bg,in_process,visible
103:bg,bg,in_process,visible
104:bg,bg,in_process,visible
105:bg,bg,in_process,visible
106:bg,bg,in_process,visible
107:bg,bg,in_process,visible
108:bg,bg,in_process,visible
109:bg,bg,in_process,visible
110:bg,bg,in_process,visible
111:bg,bg,in_process,visible
112:bg,bg,in_process,visible
113:bg,bg,in_process,visible
114:bg,bg,in_process,visible
115:bg,bg,in_process,visible
116:bg,bg,in_process,visible
117:bg,bg,in_process,visible
118:bg,bg,in_process,visible
119:bg,bg,in_process,visible
120:bg,bg,in_process,visible
121:bg,bg,in_process,visible
122:bg,bg,in_process,visible
123:bg,bg,in_process,visible
124:bg,bg,in_process,visible
125:bg,bg,in_process,visible
126:bg,bg,in_process,visible
127:bg,bg,in_process,visible
128:bg,bg,in_process,visible
129:bg,bg,in_process,visible
130:bg,bg,in_process,visible
131:bg,bg,in_process,visible
132:bg,bg,in_process,visible
133:bg,bg,in_process,visible
134:bg,bg,in_process,visible
135:bg,bg,in_process,visible
136:bg,bg,in_process,visible
137:bg,bg,in_process,visible
138:breaker,02_in_process,in_process,visible
139:breaker,02_in_process,in_process,visible
140:breaker,02_in_process,in_process,visible
141:breaker,02_in_process,in_process,visible
142:breaker,02_in_process,in_process,visible
143:breaker,02_in_process,in_process,visible
144:breaker,02_in_process,in_process,visible
145:breaker,02_in_process,in_process,visible
146:breaker,02_in_process,in_process,visible
147:breaker,02_in_process,in_process,visible
148:breaker,02_in_process,in_process,visible
149:breaker,02_in_process,in_process,visible
150:breaker,02_in_process,in_process,visible
151:breaker,02_in_process,in_process,visible
152:breaker,02_in_process,in_process,visible
153:breaker,02_in_process,in_process,visible
154:breaker,02_in_process,in_process,visible
155:breaker,02_in_process,in_process,visible
156:breaker,02_in_process,in_process,visible
157:breaker,02_in_process,in_process,visible
158:breaker,02_in_process,in_process,visible
159:breaker,02_in_process,in_process,visible
160:breaker,02_in_process,in_process,visible
161:breaker,02_in_process,in_process,visible
162:breaker,02_in_process,in_process,visible
163:breaker,02_in_process,in_process,visible
164:breaker,02_in_process,in_process,visible
165:breaker,02_in_process,in_process,visible
166:breaker,02_in_process,in_process,visible
167:break,02_on,in_process,visible
168:break,02_on,in_process,visible
169:break,02_on,in_process,visible
170:break,02_on,in_process,visible
171:break,02_on,in_process,visible
172:break,02_on,in_process,visible
173:break,02_on,in_process,visible
174:break,02_on,in_process,visible
175:break,02_on,in_process,visible
176:break,02_on,in_process,visible
177:break,02_on,in_process,visible
178:break,02_on,in_process,visible
179:break,02_on,in_process,visible
180:break,02_on,in_process,visible
181:break,02_on,in_process,visible
182:break,02_on,completed,visible
183:break,02_on,completed,visible
184:break,02_on,completed,visible
185:break,02_on,completed,visible
186:break,02_on,completed,visible
187:bg,bg,in_process,visible
188:bg,bg,in_process,visible
189:bg,bg,in_process,visible
190:bg,bg,in_process,visible
191:bg,bg,in_process,visible
192:bg,bg,in_process,visible
193:bg,bg,in_process,visible
194:bg,bg,in_process,visible
195:bg,bg,in_process,visible
196:bg,bg,in_process,visible
197:bg,bg,in_process,visible
198:bg,bg,in_process,visible
199:bg,bg,in_process,visible
200:bg,bg,in_process,visible
201:bg,bg,in_process,visible
202:bg,bg,in_process,visible
203:bg,bg,in_process,visible
204:bg,bg,in_process,visible
205:bg,bg,in_process,visible
206:bg,bg,in_process,visible
207:bg,bg,in_process,visible
208:bg,bg,in_process,visible
209:bg,bg,in_process,visible
