########################################
# Annotation Metadata
########################################

Campaign Name: Aramco switches
Video Name: 30-DEC-25-03:00:50:PM_0.avi (trim 2)

URL (Original): http://192.168.18.33:3000/originals/30-DEC-25-03:00:50:PM_0-6953ae459b7bc2b0b83aff6f.avi
URL (Web): http://192.168.18.33:3000/videos/30-DEC-25-03:00:50:PM_0-6953ae459b7bc2b0b83aff6f.mp4

FPS: 20
Total Frames: 4353

Start Frames: 2177

End Frames: 4353

Total Frames Trimmed Version: 2177

Export Date: 2026-02-09T13:01:07.582Z

########################################
# Annotations (Format: FrameNo:{verb},{noun},{state},{visibility})
########################################

1:bg,bg,in_process,visible
2:bg,bg,in_process,visible
3:bg,bg,in_process,visible
4:bg,bg,in_process,visible
5:bg,bg,in_process,visible
6:bg,bg,in_process,visible
7:bg,bg,in_process,visible
8:bg,bg,in_process,visible
9:bg,bg,in_process,visible
10:bg,bg,in_process,visible
11:bg,bg,in_process,visible
12:bg,bg,in_process,visible
13:bg,bg,in_process,visible
14:bg,bg,in_process,visible
15:bg,bg,in_process,visible
16:bg,bg,in_process,visible
17:breaker,03_in_process,in_process,visible
18:breaker,03_in_process,in_process,visible
19:breaker,03_in_process,in_process,visible
20:breaker,03_in_process,in_process,visible
21:breaker,03_in_process,in_process,visible
22:breaker,03_in_process,in_process,visible
23:breaker,03_in_process,in_process,visible
24:breaker,03_in_process,in_process,visible
25:breaker,03_in_process,in_process,visible
26:breaker,03_in_process,in_process,visible
27:break,03_on,in_process,visible
28:break,03_on,in_process,visible
29:break,03_on,in_process,visible
30:break,03_on,in_process,visible
31:break,03_on,in_process,visible
32:break,03_on,in_process,visible
33:break,03_on,in_process,visible
34:break,03_on,in_process,visible
35:break,03_on,in_process,visible
36:break,03_on,in_process,visible
37:break,03_on,in_process,visible
38:break,03_on,in_process,visible
39:break,03_on,in_process,visible
40:break,03_on,in_process,visible
41:break,03_on,in_process,visible
42:break,03_on,in_process,visible
43:break,03_on,completed,visible
44:break,03_on,completed,visible
45:break,03_on,completed,visible
46:break,03_on,completed,visible
47:break,03_on,completed,visible
48:bg,bg,in_process,visible
49:bg,bg,in_process,visible
50:bg,bg,in_process,visible
51:bg,bg,in_process,visible
52:bg,bg,in_process,visible
53:bg,bg,in_process,visible
54:bg,bg,in_process,visible
55:bg,bg,in_process,visible
56:bg,bg,in_process,visible
57:bg,bg,in_process,visible
58:bg,bg,in_process,visible
59:bg,bg,in_process,visible
60:bg,bg,in_process,visible
61:bg,bg,in_process,visible
62:bg,bg,in_process,visible
63:bg,bg,in_process,visible
64:bg,bg,in_process,visible
65:bg,bg,in_process,visible
66:bg,bg,in_process,visible
67:bg,bg,in_process,visible
68:bg,bg,in_process,visible
69:bg,bg,in_process,visible
70:bg,bg,in_process,visible
71:bg,bg,in_process,visible
72:bg,bg,in_process,visible
73:bg,bg,in_process,visible
74:bg,bg,in_process,visible
75:bg,bg,in_process,visible
76:bg,bg,in_process,visible
77:bg,bg,in_process,visible
78:bg,bg,in_process,visible
79:bg,bg,in_process,visible
80:bg,bg,in_process,visible
81:bg,bg,in_process,visible
82:bg,bg,in_process,visible
83:bg,bg,in_process,visible
84:bg,bg,in_process,visible
85:bg,bg,in_process,visible
86:bg,bg,in_process,visible
87:bg,bg,in_process,visible
88:bg,bg,in_process,visible
89:bg,bg,in_process,visible
90:breaker,02_in_process,in_process,visible
91:breaker,02_in_process,in_process,visible
92:breaker,02_in_process,in_process,visible
93:breaker,02_in_process,in_process,visible
94:breaker,02_in_process,in_process,visible
95:breaker,02_in_process,in_process,visible
96:breaker,02_in_process,in_process,visible
97:breaker,02_in_process,in_process,visible
98:breaker,02_in_process,in_process,visible
99:breaker,02_in_process,in_process,visible
100:breaker,02_in_process,in_process,visible
101:breaker,02_in_process,in_process,visible
102:breaker,02_in_process,in_process,visible
103:breaker,02_in_process,in_process,visible
104:breaker,02_in_process,in_process,visible
105:breaker,02_in_process,in_process,visible
106:breaker,02_in_process,in_process,visible
107:breaker,02_in_process,in_process,visible
108:breaker,02_in_process,in_process,visible
109:breaker,02_in_process,in_process,visible
110:breaker,02_in_process,in_process,visible
111:breaker,02_in_process,in_process,visible
112:breaker,02_in_process,in_process,not_visible
113:breaker,02_in_process,in_process,not_visible
114:breaker,02_in_process,in_process,not_visible
115:breaker,02_in_process,in_process,not_visible
116:breaker,02_in_process,in_process,not_visible
117:breaker,02_in_process,in_process,not_visible
118:breaker,02_in_process,in_process,not_visible
119:breaker,02_in_process,in_process,not_visible
120:breaker,02_in_process,in_process,not_visible
121:breaker,02_in_process,in_process,not_visible
122:breaker,02_in_process,in_process,not_visible
123:breaker,02_in_process,in_process,visible
124:breaker,02_in_process,in_process,visible
125:breaker,02_in_process,in_process,visible
126:breaker,02_in_process,in_process,visible
127:breaker,02_in_process,in_process,visible
128:breaker,02_in_process,in_process,visible
129:breaker,02_in_process,in_process,visible
130:breaker,02_in_process,in_process,visible
131:breaker,02_in_process,in_process,visible
132:break,02_on,in_process,visible
133:break,02_on,in_process,visible
134:break,02_on,in_process,visible
135:break,02_on,in_process,visible
136:break,02_on,in_process,visible
137:break,02_on,in_process,visible
138:break,02_on,in_process,visible
139:break,02_on,in_process,visible
140:break,02_on,in_process,visible
141:break,02_on,in_process,visible
142:break,02_on,in_process,visible
143:break,02_on,in_process,visible
144:break,02_on,in_process,visible
145:break,02_on,in_process,visible
146:break,02_on,in_process,visible
147:break,02_on,in_process,visible
148:break,02_on,in_process,visible
149:break,02_on,in_process,visible
150:break,02_on,in_process,visible
151:break,02_on,in_process,visible
152:break,02_on,in_process,visible
153:break,02_on,in_process,visible
154:break,02_on,in_process,visible
155:break,02_on,in_process,visible
156:break,02_on,in_process,visible
157:break,02_on,in_process,visible
158:break,02_on,completed,visible
159:break,02_on,completed,visible
160:break,02_on,completed,visible
161:break,02_on,completed,visible
162:break,02_on,completed,visible
163:bg,bg,in_process,visible
164:bg,bg,in_process,visible
165:bg,bg,in_process,visible
166:bg,bg,in_process,visible
167:bg,bg,in_process,visible
168:bg,bg,in_process,visible
169:bg,bg,in_process,visible
170:bg,bg,in_process,visible
171:bg,bg,in_process,visible
172:bg,bg,in_process,visible
173:bg,bg,in_process,visible
174:bg,bg,in_process,visible
175:bg,bg,in_process,visible
176:bg,bg,in_process,visible
177:bg,bg,in_process,visible
178:bg,bg,in_process,visible
179:bg,bg,in_process,visible
180:bg,bg,in_process,visible
181:bg,bg,in_process,visible
182:bg,bg,in_process,visible
183:bg,bg,in_process,visible
184:bg,bg,in_process,visible
185:bg,bg,in_process,visible
186:bg,bg,in_process,visible
187:bg,bg,in_process,visible
188:bg,bg,in_process,visible
189:bg,bg,in_process,visible
190:bg,bg,in_process,visible
191:bg,bg,in_process,visible
192:bg,bg,in_process,visible
193:bg,bg,in_process,visible
194:bg,bg,in_process,visible
195:bg,bg,in_process,visible
196:bg,bg,in_process,visible
197:bg,bg,in_process,visible
198:bg,bg,in_process,visible
199:bg,bg,in_process,visible
200:bg,bg,in_process,visible
201:bg,bg,in_process,visible
