########################################
# Annotation Metadata
########################################

Campaign Name: Aramco switches
Video Name: 30-DEC-25-03:00:50:PM_5.avi (trim 2)

URL (Original): http://192.168.18.33:3000/originals/30-DEC-25-03:00:50:PM_5-6953ae459b7bc2b0b83aff79.avi
URL (Web): http://192.168.18.33:3000/videos/30-DEC-25-03:00:50:PM_5-6953ae459b7bc2b0b83aff79.mp4

FPS: 20
Total Frames: 4316

Start Frames: 2159

End Frames: 4316

Total Frames Trimmed Version: 2158

Export Date: 2026-02-09T13:01:51.190Z

########################################
# Annotations (Format: FrameNo:{verb},{noun},{state},{visibility})
########################################

1:breaker,02_in_process,in_process,visible
2:breaker,02_in_process,in_process,visible
3:breaker,02_in_process,in_process,visible
4:breaker,02_in_process,in_process,visible
5:breaker,02_in_process,in_process,visible
6:breaker,02_in_process,in_process,visible
7:breaker,02_in_process,in_process,visible
8:bg,bg,in_process,visible
9:bg,bg,in_process,visible
10:bg,bg,in_process,visible
11:bg,bg,in_process,visible
12:bg,bg,in_process,visible
13:breaker,01_in_process,in_process,visible
14:breaker,01_in_process,in_process,visible
15:breaker,01_in_process,in_process,visible
16:breaker,01_in_process,in_process,visible
17:breaker,01_in_process,in_process,visible
18:breaker,01_in_process,in_process,visible
19:breaker,01_in_process,in_process,visible
20:breaker,01_in_process,in_process,visible
21:breaker,01_in_process,in_process,visible
22:breaker,01_in_process,in_process,visible
23:breaker,01_in_process,in_process,visible
24:breaker,01_in_process,in_process,visible
25:breaker,01_in_process,in_process,visible
26:breaker,01_in_process,in_process,visible
27:breaker,01_in_process,in_process,visible
28:breaker,01_in_process,in_process,visible
29:breaker,01_in_process,in_process,visible
30:breaker,01_in_process,in_process,visible
31:breaker,01_in_process,in_process,visible
32:breaker,01_in_process,in_process,visible
33:breaker,01_in_process,in_process,visible
34:breaker,01_in_process,in_process,visible
35:breaker,01_in_process,in_process,visible
36:breaker,01_in_process,in_process,visible
37:breaker,01_in_process,in_process,visible
38:breaker,01_in_process,in_process,visible
39:breaker,01_in_process,in_process,visible
40:breaker,01_in_process,in_process,visible
41:breaker,01_in_process,in_process,not_visible
42:bg,bg,in_process,visible
43:bg,bg,in_process,visible
44:bg,bg,in_process,visible
45:bg,bg,in_process,visible
46:bg,bg,in_process,visible
47:bg,bg,in_process,visible
48:bg,bg,in_process,visible
49:bg,bg,in_process,visible
50:bg,bg,in_process,visible
51:bg,bg,in_process,visible
52:bg,bg,in_process,visible
53:bg,bg,in_process,visible
54:breaker,01_in_process,in_process,not_visible
55:breaker,01_in_process,in_process,visible
56:breaker,01_in_process,in_process,visible
57:breaker,01_in_process,in_process,visible
58:breaker,01_in_process,in_process,visible
59:breaker,01_in_process,in_process,visible
60:breaker,01_in_process,in_process,visible
61:breaker,01_in_process,in_process,visible
62:breaker,01_in_process,in_process,visible
63:breaker,01_in_process,in_process,visible
64:break,01_on,in_process,visible
65:break,01_on,in_process,visible
66:break,01_on,in_process,visible
67:break,01_on,in_process,visible
68:break,01_on,in_process,visible
69:break,01_on,in_process,visible
70:break,01_on,in_process,visible
71:break,01_on,in_process,visible
72:break,01_on,in_process,visible
73:break,01_on,in_process,visible
74:break,01_on,in_process,visible
75:break,01_on,in_process,visible
76:break,01_on,in_process,visible
77:break,01_on,in_process,visible
78:break,01_on,in_process,visible
79:break,01_on,in_process,visible
80:break,01_on,in_process,visible
81:break,01_on,in_process,visible
82:break,01_on,completed,visible
83:break,01_on,completed,visible
84:break,01_on,completed,visible
85:break,01_on,completed,visible
86:break,01_on,completed,visible
87:bg,bg,in_process,visible
88:bg,bg,in_process,visible
89:bg,bg,in_process,visible
90:bg,bg,in_process,visible
91:bg,bg,in_process,visible
92:bg,bg,in_process,visible
93:bg,bg,in_process,visible
94:bg,bg,in_process,visible
95:bg,bg,in_process,visible
96:bg,bg,in_process,visible
97:bg,bg,in_process,visible
98:bg,bg,in_process,visible
99:bg,bg,in_process,visible
100:bg,bg,in_process,visible
101:bg,bg,in_process,visible
102:bg,bg,in_process,visible
103:bg,bg,in_process,visible
104:bg,bg,in_process,visible
105:bg,bg,in_process,visible
106:bg,bg,in_process,visible
107:bg,bg,in_process,visible
108:bg,bg,in_process,visible
109:bg,bg,in_process,visible
110:bg,bg,in_process,visible
111:bg,bg,in_process,visible
112:bg,bg,in_process,visible
113:bg,bg,in_process,visible
114:bg,bg,in_process,visible
115:bg,bg,in_process,visible
116:bg,bg,in_process,visible
117:bg,bg,in_process,visible
118:bg,bg,in_process,visible
119:bg,bg,in_process,visible
120:bg,bg,in_process,visible
121:bg,bg,in_process,visible
122:bg,bg,in_process,visible
123:bg,bg,in_process,visible
124:bg,bg,in_process,visible
125:bg,bg,in_process,visible
126:bg,bg,in_process,visible
127:bg,bg,in_process,visible
128:bg,bg,in_process,visible
129:bg,bg,in_process,visible
130:bg,bg,in_process,visible
131:bg,bg,in_process,visible
132:bg,bg,in_process,visible
133:bg,bg,in_process,visible
134:bg,bg,in_process,visible
135:bg,bg,in_process,visible
136:bg,bg,in_process,visible
137:bg,bg,in_process,visible
138:bg,bg,in_process,visible
139:bg,bg,in_process,visible
140:bg,bg,in_process,visible
141:bg,bg,in_process,visible
142:bg,bg,in_process,visible
143:bg,bg,in_process,visible
144:bg,bg,in_process,visible
145:bg,bg,in_process,visible
146:bg,bg,in_process,visible
147:bg,bg,in_process,visible
148:bg,bg,in_process,visible
149:bg,bg,in_process,visible
150:bg,bg,in_process,visible
151:bg,bg,in_process,visible
152:bg,bg,in_process,visible
153:bg,bg,in_process,visible
154:bg,bg,in_process,visible
155:bg,bg,in_process,visible
156:bg,bg,in_process,visible
157:bg,bg,in_process,visible
158:bg,bg,in_process,visible
159:bg,bg,in_process,visible
160:bg,bg,in_process,visible
161:bg,bg,in_process,visible
162:bg,bg,in_process,visible
163:bg,bg,in_process,visible
164:bg,bg,in_process,visible
165:bg,bg,in_process,visible
166:bg,bg,in_process,visible
167:bg,bg,in_process,visible
168:bg,bg,in_process,visible
169:bg,bg,in_process,visible
170:bg,bg,in_process,visible
171:bg,bg,in_process,visible
172:bg,bg,in_process,visible
173:bg,bg,in_process,visible
174:bg,bg,in_process,visible
175:bg,bg,in_process,visible
176:bg,bg,in_process,visible
177:bg,bg,in_process,visible
178:bg,bg,in_process,visible
179:bg,bg,in_process,visible
180:bg,bg,in_process,visible
181:bg,bg,in_process,visible
182:bg,bg,in_process,visible
183:bg,bg,in_process,visible
184:bg,bg,in_process,visible
185:bg,bg,in_process,visible
186:bg,bg,in_process,visible
187:bg,bg,in_process,visible
188:bg,bg,in_process,visible
189:bg,bg,in_process,visible
190:bg,bg,in_process,visible
191:bg,bg,in_process,visible
192:bg,bg,in_process,visible
193:bg,bg,in_process,visible
194:bg,bg,in_process,visible
195:bg,bg,in_process,visible
196:bg,bg,in_process,visible
197:bg,bg,in_process,visible
198:bg,bg,in_process,visible
199:bg,bg,in_process,visible
200:bg,bg,in_process,visible
201:bg,bg,in_process,visible
202:bg,bg,in_process,visible
203:bg,bg,in_process,visible
204:bg,bg,in_process,visible
205:bg,bg,in_process,visible
206:bg,bg,in_process,visible
207:bg,bg,in_process,visible
208:bg,bg,in_process,visible
209:bg,bg,in_process,visible
210:bg,bg,in_process,visible
211:bg,bg,in_process,visible
212:bg,bg,in_process,visible
213:bg,bg,in_process,visible
214:bg,bg,in_process,visible
215:bg,bg,in_process,visible
216:bg,bg,in_process,visible
217:bg,bg,in_process,visible
218:bg,bg,in_process,visible
219:bg,bg,in_process,visible
220:bg,bg,in_process,visible
221:bg,bg,in_process,visible
222:bg,bg,in_process,visible
223:bg,bg,in_process,visible
224:bg,bg,in_process,visible
225:bg,bg,in_process,visible
226:bg,bg,in_process,visible
227:bg,bg,in_process,visible
228:bg,bg,in_process,visible
229:bg,bg,in_process,visible
230:bg,bg,in_process,visible
231:bg,bg,in_process,visible
232:bg,bg,in_process,visible
233:bg,bg,in_process,visible
234:bg,bg,in_process,visible
235:bg,bg,in_process,visible
236:bg,bg,in_process,visible
237:bg,bg,in_process,visible
238:bg,bg,in_process,visible
239:bg,bg,in_process,visible
240:bg,bg,in_process,visible
241:bg,bg,in_process,visible
242:bg,bg,in_process,visible
243:bg,bg,in_process,visible
244:bg,bg,in_process,visible
245:bg,bg,in_process,visible
246:bg,bg,in_process,visible
247:bg,bg,in_process,visible
248:bg,bg,in_process,visible
249:bg,bg,in_process,visible
250:bg,bg,in_process,visible
251:bg,bg,in_process,visible
252:bg,bg,in_process,visible
253:bg,bg,in_process,visible
254:bg,bg,in_process,visible
255:bg,bg,in_process,visible
256:bg,bg,in_process,visible
257:bg,bg,in_process,visible
258:bg,bg,in_process,visible
259:bg,bg,in_process,visible
260:bg,bg,in_process,visible
261:bg,bg,in_process,visible
262:bg,bg,in_process,visible
263:bg,bg,in_process,visible
264:bg,bg,in_process,visible
265:bg,bg,in_process,visible
266:bg,bg,in_process,visible
267:bg,bg,in_process,visible
268:bg,bg,in_process,visible
269:bg,bg,in_process,visible
270:bg,bg,in_process,visible
271:bg,bg,in_process,visible
272:bg,bg,in_process,visible
273:bg,bg,in_process,visible
274:bg,bg,in_process,visible
275:bg,bg,in_process,visible
276:bg,bg,in_process,visible
277:bg,bg,in_process,visible
278:bg,bg,in_process,visible
279:bg,bg,in_process,visible
280:bg,bg,in_process,visible
281:bg,bg,in_process,visible
282:bg,bg,in_process,visible
283:bg,bg,in_process,visible
284:bg,bg,in_process,visible
285:bg,bg,in_process,visible
286:bg,bg,in_process,visible
287:bg,bg,in_process,visible
288:bg,bg,in_process,visible
289:bg,bg,in_process,visible
290:bg,bg,in_process,visible
291:bg,bg,in_process,visible
292:bg,bg,in_process,visible
293:bg,bg,in_process,visible
294:bg,bg,in_process,visible
295:bg,bg,in_process,visible
296:bg,bg,in_process,visible
297:bg,bg,in_process,visible
298:bg,bg,in_process,visible
299:bg,bg,in_process,visible
300:bg,bg,in_process,visible
301:bg,bg,in_process,visible
302:bg,bg,in_process,visible
303:bg,bg,in_process,visible
304:bg,bg,in_process,visible
305:bg,bg,in_process,visible
306:bg,bg,in_process,visible
307:bg,bg,in_process,visible
308:bg,bg,in_process,visible
309:bg,bg,in_process,visible
310:bg,bg,in_process,visible
311:bg,bg,in_process,visible
312:bg,bg,in_process,visible
313:bg,bg,in_process,visible
314:bg,bg,in_process,visible
315:bg,bg,in_process,visible
316:bg,bg,in_process,visible
317:bg,bg,in_process,visible
318:bg,bg,in_process,visible
319:bg,bg,in_process,visible
320:bg,bg,in_process,visible
321:bg,bg,in_process,visible
322:bg,bg,in_process,visible
323:bg,bg,in_process,visible
324:bg,bg,in_process,visible
325:bg,bg,in_process,visible
326:bg,bg,in_process,visible
327:bg,bg,in_process,visible
328:bg,bg,in_process,visible
329:bg,bg,in_process,visible
330:bg,bg,in_process,visible
331:bg,bg,in_process,visible
332:bg,bg,in_process,visible
333:bg,bg,in_process,visible
334:bg,bg,in_process,visible
335:bg,bg,in_process,visible
336:bg,bg,in_process,visible
337:bg,bg,in_process,visible
338:bg,bg,in_process,visible
339:bg,bg,in_process,visible
340:bg,bg,in_process,visible
341:bg,bg,in_process,visible
342:bg,bg,in_process,visible
343:bg,bg,in_process,visible
344:bg,bg,in_process,visible
345:bg,bg,in_process,visible
346:bg,bg,in_process,visible
347:bg,bg,in_process,visible
348:bg,bg,in_process,visible
349:bg,bg,in_process,visible
350:bg,bg,in_process,visible
351:bg,bg,in_process,visible
352:bg,bg,in_process,visible
353:bg,bg,in_process,visible
354:bg,bg,in_process,visible
355:bg,bg,in_process,visible
356:bg,bg,in_process,visible
357:bg,bg,in_process,visible
358:bg,bg,in_process,visible
359:bg,bg,in_process,visible
360:bg,bg,in_process,visible
361:bg,bg,in_process,visible
362:bg,bg,in_process,visible
363:bg,bg,in_process,visible
364:bg,bg,in_process,visible
365:bg,bg,in_process,visible
366:bg,bg,in_process,visible
367:bg,bg,in_process,visible
368:bg,bg,in_process,visible
369:bg,bg,in_process,visible
370:bg,bg,in_process,visible
371:bg,bg,in_process,visible
372:bg,bg,in_process,visible
373:bg,bg,in_process,visible
374:bg,bg,in_process,visible
375:bg,bg,in_process,visible
376:bg,bg,in_process,visible
377:bg,bg,in_process,visible
378:bg,bg,in_process,visible
379:bg,bg,in_process,visible
380:bg,bg,in_process,visible
381:bg,bg,in_process,visible
382:bg,bg,in_process,visible
383:bg,bg,in_process,visible
384:bg,bg,in_process,visible
385:bg,bg,in_process,visible
386:bg,bg,in_process,visible
387:bg,bg,in_process,visible
388:bg,bg,in_process,visible
389:bg,bg,in_process,visible
390:bg,bg,in_process,visible
391:bg,bg,in_process,visible
392:bg,bg,in_process,visible
393:bg,bg,in_process,visible
394:bg,bg,in_process,visible
395:bg,bg,in_process,visible
396:bg,bg,in_process,visible
397:bg,bg,in_process,visible
398:bg,bg,in_process,visible
399:bg,bg,in_process,visible
400:bg,bg,in_process,visible
401:bg,bg,in_process,visible
402:bg,bg,in_process,visible
403:bg,bg,in_process,visible
404:bg,bg,in_process,visible
405:bg,bg,in_process,visible
406:bg,bg,in_process,visible
407:bg,bg,in_process,visible
408:bg,bg,in_process,visible
409:bg,bg,in_process,visible
410:bg,bg,in_process,visible
411:bg,bg,in_process,visible
412:bg,bg,in_process,visible
413:bg,bg,in_process,visible
414:bg,bg,in_process,visible
415:bg,bg,in_process,visible
416:bg,bg,in_process,visible
417:bg,bg,in_process,visible
418:bg,bg,in_process,visible
419:bg,bg,in_process,visible
420:bg,bg,in_process,visible
421:bg,bg,in_process,visible
422:bg,bg,in_process,visible
423:bg,bg,in_process,visible
424:bg,bg,in_process,visible
425:bg,bg,in_process,visible
426:bg,bg,in_process,visible
427:bg,bg,in_process,visible
428:bg,bg,in_process,visible
429:bg,bg,in_process,visible
430:bg,bg,in_process,visible
