########################################
# Annotation Metadata
########################################

Campaign Name: Aramco switches
Video Name: 30-DEC-25-03:00:50:PM_13.avi (trim 1)

URL (Original): http://192.168.18.33:3000/originals/30-DEC-25-03:00:50:PM_13-6953b2b39b7bc2b0b83d5622.avi
URL (Web): http://192.168.18.33:3000/videos/30-DEC-25-03:00:50:PM_13-6953b2b39b7bc2b0b83d5622.mp4

FPS: 20
Total Frames: 4403

Start Frames: 1

End Frames: 2201

Total Frames Trimmed Version: 2201

Export Date: 2026-02-09T13:02:42.863Z

########################################
# Annotations (Format: FrameNo:{verb},{noun},{state},{visibility})
########################################

1:bg,bg,N/A,N/A
2:bg,bg,N/A,N/A
3:bg,bg,N/A,N/A
4:bg,bg,N/A,N/A
5:bg,bg,N/A,N/A
6:bg,bg,N/A,N/A
7:bg,bg,N/A,N/A
8:bg,bg,N/A,N/A
9:bg,bg,N/A,N/A
10:bg,bg,N/A,N/A
11:bg,bg,N/A,N/A
12:bg,bg,N/A,N/A
13:bg,bg,N/A,N/A
14:bg,bg,N/A,N/A
15:bg,bg,N/A,N/A
16:bg,bg,N/A,N/A
17:bg,bg,N/A,N/A
18:bg,bg,N/A,N/A
19:bg,bg,N/A,N/A
20:bg,bg,N/A,N/A
21:bg,bg,N/A,N/A
22:bg,bg,N/A,N/A
23:bg,bg,N/A,N/A
24:bg,bg,N/A,N/A
25:bg,bg,N/A,N/A
26:bg,bg,N/A,N/A
27:bg,bg,N/A,N/A
28:bg,bg,N/A,N/A
29:bg,bg,N/A,N/A
30:bg,bg,N/A,N/A
31:bg,bg,N/A,N/A
32:bg,bg,N/A,N/A
33:bg,bg,N/A,N/A
34:bg,bg,N/A,N/A
35:bg,bg,N/A,N/A
36:bg,bg,N/A,N/A
37:bg,bg,N/A,N/A
38:bg,bg,N/A,N/A
39:bg,bg,N/A,N/A
40:bg,bg,N/A,N/A
41:bg,bg,N/A,N/A
42:bg,bg,N/A,N/A
43:bg,bg,N/A,N/A
44:bg,bg,N/A,N/A
45:bg,bg,N/A,N/A
46:bg,bg,N/A,N/A
47:bg,bg,N/A,N/A
48:bg,bg,N/A,N/A
49:bg,bg,N/A,N/A
50:bg,bg,N/A,N/A
51:bg,bg,N/A,N/A
52:bg,bg,N/A,N/A
53:bg,bg,N/A,N/A
54:bg,bg,N/A,N/A
55:bg,bg,N/A,N/A
56:bg,bg,N/A,N/A
57:bg,bg,N/A,N/A
58:bg,bg,N/A,N/A
59:bg,bg,N/A,N/A
60:bg,bg,N/A,N/A
61:bg,bg,N/A,N/A
62:bg,bg,N/A,N/A
63:bg,bg,N/A,N/A
64:bg,bg,N/A,N/A
65:bg,bg,N/A,N/A
66:bg,bg,N/A,N/A
67:bg,bg,N/A,N/A
68:bg,bg,N/A,N/A
69:bg,bg,N/A,N/A
70:bg,bg,N/A,N/A
71:bg,bg,N/A,N/A
72:bg,bg,N/A,N/A
73:bg,bg,N/A,N/A
74:bg,bg,N/A,N/A
75:bg,bg,N/A,N/A
76:bg,bg,N/A,N/A
77:bg,bg,N/A,N/A
78:bg,bg,N/A,N/A
79:bg,bg,N/A,N/A
80:bg,bg,N/A,N/A
81:bg,bg,N/A,N/A
82:bg,bg,N/A,N/A
83:bg,bg,N/A,N/A
84:bg,bg,N/A,N/A
85:bg,bg,N/A,N/A
86:bg,bg,N/A,N/A
87:bg,bg,N/A,N/A
88:bg,bg,N/A,N/A
89:bg,bg,N/A,N/A
90:bg,bg,N/A,N/A
91:bg,bg,N/A,N/A
92:bg,bg,N/A,N/A
93:bg,bg,N/A,N/A
94:bg,bg,N/A,N/A
95:bg,bg,N/A,N/A
96:bg,bg,N/A,N/A
97:bg,bg,N/A,N/A
98:bg,bg,N/A,N/A
99:bg,bg,N/A,N/A
100:bg,bg,N/A,N/A
101:bg,bg,N/A,N/A
102:bg,bg,N/A,N/A
103:bg,bg,N/A,N/A
104:bg,bg,N/A,N/A
105:bg,bg,N/A,N/A
106:bg,bg,N/A,N/A
107:bg,bg,N/A,N/A
108:bg,bg,N/A,N/A
109:bg,bg,N/A,N/A
110:bg,bg,N/A,N/A
111:bg,bg,N/A,N/A
112:bg,bg,N/A,N/A
113:bg,bg,N/A,N/A
114:bg,bg,N/A,N/A
115:bg,bg,N/A,N/A
116:bg,bg,N/A,N/A
117:bg,bg,N/A,N/A
118:bg,bg,N/A,N/A
119:bg,bg,N/A,N/A
120:bg,bg,N/A,N/A
121:bg,bg,N/A,N/A
122:bg,bg,N/A,N/A
123:bg,bg,N/A,N/A
124:bg,bg,N/A,N/A
125:bg,bg,N/A,N/A
126:bg,bg,N/A,N/A
127:bg,bg,N/A,N/A
128:bg,bg,N/A,N/A
129:bg,bg,N/A,N/A
130:bg,bg,N/A,N/A
131:bg,bg,N/A,N/A
132:bg,bg,N/A,N/A
133:bg,bg,N/A,N/A
134:bg,bg,N/A,N/A
135:bg,bg,N/A,N/A
136:bg,bg,N/A,N/A
137:bg,bg,N/A,N/A
138:bg,bg,N/A,N/A
139:bg,bg,N/A,N/A
140:bg,bg,N/A,N/A
141:bg,bg,N/A,N/A
142:bg,bg,N/A,N/A
143:bg,bg,N/A,N/A
144:bg,bg,N/A,N/A
145:bg,bg,N/A,N/A
146:bg,bg,N/A,N/A
